  PID  %CPU COMMAND
  682   0.0 commerce
  686   0.0 ACCFinderSync
  687   0.0 chrome_crashpad_handler
  681   0.0 PAH_Extension
  680   0.0 imklaunchagent
  676   0.0 parsecd
  672   0.0 CallHistoryPluginHelper
  679   0.0 ReportCrash
  678   0.0 contactsd
  675   0.0 ManagedSettingsAgent
  674   0.0 com.apple.geod
  669   0.0 ScreenTimeAgent
  667   0.0 pbs
  661   0.0 nsurlsessiond
  663   0.0 useractivityd
  665   0.0 iCloudNotificationAgent
  670   0.0 Spotlight
  660   0.0 usernoted
  666   0.0 CommCenter
  668   0.0 deleted
  664   0.0 com.apple.dock.extra
  662   0.0 cloudd
  657   0.0 WiFiAgent
  648   0.0 colorsync.useragent
  659   0.0 donotdisturbd
  655   0.0 systemsoundserverd
  653   0.0 NotificationCenter
  629   0.0 audioaccessoryd
  628   0.0 intelligentroutingd
  652   0.0 WallpaperImageExtension
  650   0.0 localizationswitcherd
  651   0.0 oahd
  649   0.0 sysmond
  633   0.0 fileproviderd
  631   0.0 ContinuityCaptureAgent
  645   0.0 wifip2pd
  643   0.0 idleassetsd
  638   0.0 replayd
  634   0.0 AMPDeviceDiscoveryAgent
  627   0.0 heard
  637   0.0 mobiletimerd
  618   0.0 dmd
  641   0.0 ViewBridgeAuxiliary
  639   0.0 AudioComponentRegistrar
  622   0.0 sociallayerd
  623   0.0 calaccessd
  635   0.0 bird
  632   0.0 sharedfilelistd
  630   0.0 automountd
  621   0.0 WallpaperAgent
  620   0.0 secinitd
  625   0.0 callservicesd
  626   0.0 iconservicesagent
  615   0.0 fontworker
  619   0.0 com.apple.quicklook.ThumbnailsAgent
  617   0.0 QuickLookUIService
  616   0.0 siriactionsd
  613   0.0 gamepolicyd
  614   0.0 filecoordinationd
  610   0.0 Finder
  609   0.0 SystemUIServer
  608   0.0 fontd
  607   0.0 ControlCenter
  605   0.0 CoreLocationAgent
  603   0.0 sharingd
  601   0.0 pkd
  600   0.0 ctkd
  599   0.0 coreauthd
  596   0.0 ctkd
  595   0.0 transparencyd
  594   0.0 chronod
  593   0.0 syncdefaultsd
  590   0.0 followupd
  589   0.0 rtcreportingd
  587   0.0 replicatord
  586   0.0 trustd
  585   0.0 homed
  584   0.0 TrustedPeersHelper
  583   0.0 cdpd
  581   0.0 cloudd
  565   0.0 assistantd
  574   0.0 distnoted
  580   0.0 talagentd
  578   0.0 identityservicesd
  579   0.0 com.apple.hiservices-xpcservice
  577   0.0 tccd
  575   0.0 Activity Monitor
  573   0.0 findmydevice-user-agent
  571   0.0 secd
  570   0.0 rapportd
  569   0.0 containermanagerd
  568   0.0 mobileactivationd
  566   0.0 neagent
  567   0.0 csnameddatad
  564   0.0 distnoted
  563   0.0 accountsd
  562   0.0 usernotificationsd
  561   0.0 BackgroundTaskManagementAgent
  560   0.0 lsd
  559   0.0 findmydeviced
  555   0.0 triald
  548   0.0 UserEventAgent
  554   0.0 knowledge-agent
  556   0.0 pboard
  553   0.0 universalaccessd
  552   0.0 CoreServicesUIAgent
  547   0.0 corekdld
  541   0.0 distnoted
  543   0.0 cfprefsd
  539   0.0 coreauthd
  534   0.0 cfprefsd
  529   0.0 backupd
  527   0.0 com.apple.AppleUserHIDDrivers
  525   0.0 com.apple.DriverKit-IOUserDockChannelSerial
  524   0.0 com.apple.DriverKit-AppleBCMWLAN
  517   0.0 com.apple.AccountPolicyHelper
  514   0.0 modelmanagerd
  513   0.0 suhelperd
  510   0.0 findmybeaconingd
  511   0.0 audioanalyticsd
  507   0.0 WirelessRadioManagerd
  506   0.0 UVCAssistant
  505   0.0 audioclocksyncd
  504   0.0 cameracaptured
  502   0.0 appleeventsd
  500   0.0 appleh13camerad
  499   0.0 syspolicyd
  496   0.0 securityd_system
  485   0.0 distnoted
  484   0.0 PerfPowerTelemetryClientRegistrationService
  483   0.0 softwareupdated
  482   0.0 modelcatalogd
  472   0.0 distnoted
  473   0.0 backgroundtaskmanagementd
  384   0.0 backupd-helper
  465   0.0 cfprefsd
  463   0.0 com.apple.CodeSigningHelper
  435   0.0 com.apple.geod
  438   0.0 distnoted
  430   0.0 mDNSResponderHelper
  416   0.0 distnoted
  407   0.0 distnoted
  418   0.0 storagekitd
 5216   0.0 ps
  412   0.0 distnoted
  414   0.0 socketfilterfw
  413   0.0 biometrickitd
  411   0.0 biomed
  409   0.0 authd
  401   0.0 nsurlsessiond
  400   0.0 coreaudiod
  404   0.0 symptomsd
  403   0.0 mobileassetd
  402   0.0 apfsd
  328   0.0 iconservicesd
  396   0.0 nehelper
  321   0.0 softwareupdated
  346   0.0 locationd
  310   0.0 accessoryupdaterd
  379   0.0 analyticsd
  386   0.0 eligibilityd
  382   0.0 systemstatusd
  381   0.0 lsd
  378   0.0 airportd
  376   0.0 coreservicesd
  375   0.0 contextstored
  374   0.0 runningboardd
  342   0.0 timed
  343   0.0 usbmuxd
  352   0.0 distnoted
  372   0.0 loginwindow
  370   0.0 cfprefsd
  369   0.0 tccd
  367   0.0 logd_helper
  314   0.0 IOMFB_bics_daemon
  305   0.0 mediaremoted
  354   0.0 PerfPowerServices
  350   0.0 dasd
  301   0.0 smd
  334   0.0 syslogd
  359   0.0 usermanagerd
  355   0.0 dirhelper
  357   0.0 revisiond
  333   0.0 coreduetd
  312   0.0 endpointsecurityd
  341   0.0 launchservicesd
  366   0.0 com.apple.cmio.registerassistantservice
  308   0.0 systemstats
  347   0.0 nesessionmanager
  338   0.0 opendirectoryd
  323   0.0 watchdogd
  318   0.0 remoted
  353   0.0 AppleCredentialManagerDaemon
  329   0.0 kernelmanagerd
  363   0.0 sandboxd
  365   0.0 AirPlayXPCHelper
  361   0.0 bluetoothd
  358   0.0 KernelEventAgent
  344   0.0 securityd
  356   0.0 logind
  362   0.0 notifyd
  340   0.0 apsd
  337   0.0 thermalmonitord
  364   0.0 corebrightnessd
  349   0.0 autofsd
  320   0.0 keybagd
  330   0.0 diskarbitrationd
  316   0.0 amfid
  313   0.0 powerd
  304   0.0 fseventsd
  311   0.0 configd
  302   0.0 UserEventAgent
  417   0.0 mDNSResponder
 5202   0.0 mdworker_shared
 5201   0.0 com.apple.iCloudHelper
 5200   0.0 mdworker_shared
 5198   0.0 Google Chrome Helper (Renderer)
 5197   0.0 MessagesBlastDoorService
 5196   0.0 businessservicesd
 5193   0.0 ollama
 5187   0.0 mdworker_shared
 5177   0.0 mdworker_shared
 5158   0.0 mdworker_shared
 5155   0.0 mdworker_shared
 5153   0.0 mdworker_shared
 5146   0.0 Google Chrome Helper (Renderer)
 5141   0.0 com.apple.WebKit.WebContent
 5138   0.0 com.apple.WebKit.GPU
 5045   0.0 OfficeThumbnailExtension
 4998   0.0 -zsh
 4997   0.0 login
 4966   0.0 zsh
 4863   0.0 parsec-fbf
 4862   0.0 CSExattrCryptoService
 4861   0.0 ACCFinderSync
 4860   0.0 QuickLookUIService
 4859   0.0 com.apple.appkit.xpc.openAndSavePanelService
 4854   0.0 MTLCompilerService
 4851   0.0 Google Chrome Helper (Renderer)
 4834   0.0 com.apple.DictionaryServiceHelper
 4806   0.0 Microsoft PowerPoint
 4805   0.0 PackageThumbnailExtension
 4617   0.0 Google Chrome Helper (Renderer)
